Time(s),CH1V
-5.000000e-07,1.226000e-04
-4.990000e-07,1.238667e-04
-4.980000e-07,1.378667e-04
-4.970000e-07,1.334667e-04
-4.960000e-07,1.372000e-04
-4.950000e-07,1.318000e-04
-4.940000e-07,1.328000e-04
-4.930000e-07,1.304667e-04
-4.920000e-07,1.273333e-04
-4.910000e-07,1.231333e-04
-4.900000e-07,1.266000e-04
-4.890000e-07,1.373333e-04
-4.880000e-07,1.412000e-04
-4.870000e-07,1.298000e-04
-4.860000e-07,1.177333e-04
-4.850000e-07,1.280667e-04
-4.840000e-07,1.338667e-04
-4.830000e-07,1.224000e-04
-4.820000e-07,1.206000e-04
-4.810000e-07,1.226667e-04
-4.800000e-07,1.386667e-04
-4.790000e-07,1.487333e-04
-4.780000e-07,1.351333e-04
-4.770000e-07,1.296000e-04
-4.760000e-07,1.305333e-04
-4.750000e-07,1.296000e-04
-4.740000e-07,1.215333e-04
-4.730000e-07,1.194667e-04
-4.720000e-07,1.301333e-04
-4.710000e-07,1.300667e-04
-4.700000e-07,1.218667e-04
-4.690000e-07,1.269333e-04
-4.680000e-07,1.271333e-04
-4.670000e-07,1.236667e-04
-4.660000e-07,1.222000e-04
-4.650000e-07,1.202667e-04
-4.640000e-07,1.149333e-04
-4.630000e-07,1.250667e-04
-4.620000e-07,1.366667e-04
-4.610000e-07,1.205333e-04
-4.600000e-07,1.053333e-04
-4.590000e-07,1.092667e-04
-4.580000e-07,1.176667e-04
-4.570000e-07,1.258000e-04
-4.560000e-07,1.262667e-04
-4.550000e-07,1.100000e-04
-4.540000e-07,1.080000e-04
-4.530000e-07,1.206000e-04
-4.520000e-07,1.150667e-04
-4.510000e-07,1.080000e-04
-4.500000e-07,1.153333e-04
-4.490000e-07,1.074667e-04
-4.480000e-07,1.123333e-04
-4.470000e-07,1.272667e-04
-4.460000e-07,1.159333e-04
-4.450000e-07,1.066667e-04
-4.440000e-07,1.229333e-04
-4.430000e-07,1.219333e-04
-4.420000e-07,1.126000e-04
-4.410000e-07,1.164000e-04
-4.400000e-07,1.184667e-04
-4.390000e-07,1.220000e-04
-4.380000e-07,1.232000e-04
-4.370000e-07,1.237333e-04
-4.360000e-07,1.213333e-04
-4.350000e-07,1.270000e-04
-4.340000e-07,1.310667e-04
-4.330000e-07,1.141333e-04
-4.320000e-07,1.113333e-04
-4.310000e-07,1.254667e-04
-4.300000e-07,1.234667e-04
-4.290000e-07,1.076667e-04
-4.280000e-07,1.072667e-04
-4.270000e-07,1.151333e-04
-4.260000e-07,1.075333e-04
-4.250000e-07,1.089333e-04
-4.240000e-07,1.170667e-04
-4.230000e-07,1.064000e-04
