Interval,Start Time,End Time,Events,Rate (events/s),Cumulative Events
1,2025-11-22 21:07:06,2025-11-22 21:12:07,41,0.136,41
2,2025-11-22 21:12:07,2025-11-22 21:17:08,50,0.166,91
3,2025-11-22 21:17:08,2025-11-22 21:22:08,46,0.153,137
4,2025-11-22 21:22:08,2025-11-22 21:27:09,45,0.150,182
5,2025-11-22 21:27:09,2025-11-22 21:32:10,42,0.140,224
6,2025-11-22 21:32:10,2025-11-22 21:37:10,47,0.157,271
7,2025-11-22 21:37:10,2025-11-22 21:42:10,41,0.137,312
8,2025-11-22 21:42:10,2025-11-22 21:47:11,59,0.197,371
9,2025-11-22 21:47:11,2025-11-22 21:52:11,42,0.140,413
10,2025-11-22 21:52:11,2025-11-22 21:57:11,48,0.160,461
11,2025-11-22 21:57:11,2025-11-22 22:02:12,48,0.160,509
12,2025-11-22 22:02:12,2025-11-22 22:07:13,37,0.123,546
13,2025-11-22 22:07:13,2025-11-22 22:12:14,46,0.153,592
14,2025-11-22 22:12:14,2025-11-22 22:17:14,48,0.160,640
15,2025-11-22 22:17:14,2025-11-22 22:22:15,50,0.166,690
16,2025-11-22 22:22:15,2025-11-22 22:27:16,39,0.130,729
17,2025-11-22 22:27:16,2025-11-22 22:32:16,48,0.160,777
18,2025-11-22 22:32:16,2025-11-22 22:37:17,52,0.173,829
19,2025-11-22 22:37:17,2025-11-22 22:42:18,42,0.140,871
20,2025-11-22 22:42:18,2025-11-22 22:47:19,39,0.130,910
21,2025-11-22 22:47:19,2025-11-22 22:52:20,37,0.123,947
22,2025-11-22 22:52:20,2025-11-22 22:57:21,42,0.140,989
23,2025-11-22 22:57:21,2025-11-22 23:02:22,48,0.160,1037
24,2025-11-22 23:02:22,2025-11-22 23:07:22,55,0.183,1092
25,2025-11-22 23:07:22,2025-11-22 23:12:23,48,0.160,1140
26,2025-11-22 23:12:23,2025-11-22 23:17:23,50,0.167,1190
27,2025-11-22 23:17:23,2025-11-22 23:22:23,45,0.150,1235
28,2025-11-22 23:22:23,2025-11-22 23:27:23,49,0.163,1284
29,2025-11-22 23:27:23,2025-11-22 23:32:24,49,0.163,1333
30,2025-11-22 23:32:24,2025-11-22 23:37:24,45,0.150,1378
31,2025-11-22 23:37:24,2025-11-22 23:42:25,56,0.186,1434
32,2025-11-22 23:42:25,2025-11-22 23:47:25,47,0.157,1481
33,2025-11-22 23:47:25,2025-11-22 23:52:26,50,0.166,1531
34,2025-11-22 23:52:26,2025-11-22 23:57:26,44,0.146,1575
35,2025-11-22 23:57:26,2025-11-23 00:02:27,37,0.123,1612
36,2025-11-23 00:02:27,2025-11-23 00:07:28,50,0.166,1662
37,2025-11-23 00:07:28,2025-11-23 00:12:28,40,0.133,1702
38,2025-11-23 00:12:28,2025-11-23 00:17:29,53,0.176,1755
39,2025-11-23 00:17:29,2025-11-23 00:22:30,43,0.143,1798
40,2025-11-23 00:22:30,2025-11-23 00:27:31,44,0.146,1842
41,2025-11-23 00:27:31,2025-11-23 00:32:31,39,0.130,1881
42,2025-11-23 00:32:31,2025-11-23 00:37:32,46,0.153,1927
43,2025-11-23 00:37:32,2025-11-23 00:42:33,38,0.126,1965
44,2025-11-23 00:42:33,2025-11-23 00:47:33,48,0.160,2013
45,2025-11-23 00:47:33,2025-11-23 00:52:33,50,0.167,2063
46,2025-11-23 00:52:33,2025-11-23 00:57:34,43,0.143,2106
47,2025-11-23 00:57:34,2025-11-23 01:02:34,43,0.143,2149
48,2025-11-23 01:02:34,2025-11-23 01:07:34,49,0.163,2198
49,2025-11-23 01:07:34,2025-11-23 01:12:35,36,0.120,2234
50,2025-11-23 01:12:35,2025-11-23 01:17:36,37,0.123,2271
51,2025-11-23 01:17:36,2025-11-23 01:22:37,47,0.156,2318
52,2025-11-23 01:22:37,2025-11-23 01:27:37,49,0.163,2367
53,2025-11-23 01:27:37,2025-11-23 01:32:38,51,0.169,2418
54,2025-11-23 01:32:38,2025-11-23 01:37:39,41,0.136,2459
55,2025-11-23 01:37:39,2025-11-23 01:42:40,49,0.163,2508
56,2025-11-23 01:42:40,2025-11-23 01:47:40,38,0.127,2546
57,2025-11-23 01:47:40,2025-11-23 01:52:40,40,0.133,2586
58,2025-11-23 01:52:40,2025-11-23 01:57:41,40,0.133,2626
59,2025-11-23 01:57:41,2025-11-23 02:02:42,38,0.126,2664
60,2025-11-23 02:02:42,2025-11-23 02:07:43,51,0.169,2715
61,2025-11-23 02:07:43,2025-11-23 02:12:44,43,0.143,2758
62,2025-11-23 02:12:44,2025-11-23 02:17:44,49,0.163,2807
63,2025-11-23 02:17:44,2025-11-23 02:22:45,41,0.136,2848
64,2025-11-23 02:22:45,2025-11-23 02:27:46,43,0.143,2891
65,2025-11-23 02:27:46,2025-11-23 02:32:47,55,0.183,2946
66,2025-11-23 02:32:47,2025-11-23 02:37:47,45,0.150,2991
67,2025-11-23 02:37:47,2025-11-23 02:42:47,31,0.103,3022
68,2025-11-23 02:42:47,2025-11-23 02:47:48,57,0.190,3079
69,2025-11-23 02:47:48,2025-11-23 02:52:48,44,0.146,3123
70,2025-11-23 02:52:48,2025-11-23 02:57:49,42,0.140,3165
71,2025-11-23 02:57:49,2025-11-23 03:02:50,56,0.186,3221
72,2025-11-23 03:02:50,2025-11-23 03:07:50,35,0.117,3256
73,2025-11-23 03:07:50,2025-11-23 03:12:51,45,0.150,3301
74,2025-11-23 03:12:51,2025-11-23 03:17:52,43,0.143,3344
75,2025-11-23 03:17:52,2025-11-23 03:22:52,36,0.120,3380
76,2025-11-23 03:22:52,2025-11-23 03:27:53,43,0.143,3423
77,2025-11-23 03:27:53,2025-11-23 03:32:54,49,0.163,3472
78,2025-11-23 03:32:54,2025-11-23 03:37:54,46,0.153,3518
79,2025-11-23 03:37:54,2025-11-23 03:42:55,35,0.116,3553
80,2025-11-23 03:42:55,2025-11-23 03:47:56,50,0.167,3603
81,2025-11-23 03:47:56,2025-11-23 03:52:56,41,0.136,3644
82,2025-11-23 03:52:56,2025-11-23 03:57:57,42,0.140,3686
83,2025-11-23 03:57:57,2025-11-23 04:02:58,52,0.173,3738
84,2025-11-23 04:02:58,2025-11-23 04:07:59,45,0.150,3783
85,2025-11-23 04:07:59,2025-11-23 04:12:59,40,0.133,3823
86,2025-11-23 04:12:59,2025-11-23 04:18:00,44,0.146,3867
87,2025-11-23 04:18:00,2025-11-23 04:23:01,37,0.123,3904
88,2025-11-23 04:23:01,2025-11-23 04:28:02,40,0.133,3944
89,2025-11-23 04:28:02,2025-11-23 04:33:03,43,0.143,3987
90,2025-11-23 04:33:03,2025-11-23 04:38:03,40,0.133,4027
91,2025-11-23 04:38:03,2025-11-23 04:43:04,40,0.133,4067
92,2025-11-23 04:43:04,2025-11-23 04:48:05,37,0.123,4104
93,2025-11-23 04:48:05,2025-11-23 04:53:06,47,0.156,4151
94,2025-11-23 04:53:06,2025-11-23 04:58:07,49,0.163,4200
95,2025-11-23 04:58:07,2025-11-23 05:03:08,46,0.153,4246
96,2025-11-23 05:03:08,2025-11-23 05:08:08,51,0.170,4297
97,2025-11-23 05:08:08,2025-11-23 05:13:08,42,0.140,4339
98,2025-11-23 05:13:08,2025-11-23 05:18:09,42,0.140,4381
99,2025-11-23 05:18:09,2025-11-23 05:23:10,47,0.156,4428
100,2025-11-23 05:23:10,2025-11-23 05:28:10,45,0.150,4473
101,2025-11-23 05:28:10,2025-11-23 05:33:11,40,0.133,4513
102,2025-11-23 05:33:11,2025-11-23 05:38:12,48,0.159,4561
103,2025-11-23 05:38:12,2025-11-23 05:43:12,45,0.150,4606
104,2025-11-23 05:43:12,2025-11-23 05:48:13,55,0.183,4661
105,2025-11-23 05:48:13,2025-11-23 05:53:14,42,0.140,4703
106,2025-11-23 05:53:14,2025-11-23 05:58:15,36,0.120,4739
107,2025-11-23 05:58:15,2025-11-23 06:03:16,36,0.120,4775
108,2025-11-23 06:03:16,2025-11-23 06:08:17,51,0.169,4826
109,2025-11-23 06:08:17,2025-11-23 06:13:18,49,0.163,4875
110,2025-11-23 06:13:18,2025-11-23 06:18:18,49,0.163,4924
111,2025-11-23 06:18:18,2025-11-23 06:23:19,57,0.189,4981
112,2025-11-23 06:23:19,2025-11-23 06:28:20,55,0.183,5036
